DOI,year,PDF,node_id
10.1016/j.semcdb.2019.04.007,2019,1-s2.0-S1084952118301290-main.pdf,30
10.3390/ani14040650,2024,Guo et al. - 2024 - CRISPR Ribonucleoprotein-Mediated Precise Editing of Multiple Genes in Porcine Fibroblasts.pdf,31
10.3390/cells12121555,2023,Wang - 2023 - Genome Editing for Cystic Fibrosis.pdf,32
10.1016/j.celrep.2023.112672,2023,Mayo-Muñoz et al. - 2023 - A host of armor Prokaryotic immune strategies against mobile genetic elements.pdf,33
10.1016/j.wpi.2019.101944,2020,1-s2.0-S0172219018301273-main.pdf,34
10.1038/s41587-020-0565-5,2020,s41587-020-0565-5.pdf,35
10.3390/applbiosci2010006,2023,"McFarlane et al. - 2023 - Gene Drive Past, Present and Future Roads to Vertebrate Biocontrol.pdf",36
10.1007/s44154-023-00102-4,2023,Deng and He - 2023 - Genome editing enables defense-yield balance in rice.pdf,37
10.1007/s11886-024-02096-5,2024,Johnston and Adler - 2024 - Precision Genetic Therapies Balancing Risk and Benefit in Patients with Heart Failure.pdf,38
10.1126/science.1247997,2014,Jinek et al. - 2014 - Structures of Cas9 Endonucleases Reveal RNA-Mediated Conformational Activation.pdf,39
10.5935/1676-2444.20210051,2021,10.59351676-2444.20210051_EN.pdf,40
10.1038/s41598-020-71690-8,2020,You et al. - 2020 - A CRISPR-based method for testing the essentiality of a gene.pdf,41
10.3390/cells11111847,2022,Liu et al. - 2022 - Predicting CRISPRCas9 Repair Outcomes by Attention-Based Deep Learning Framework.pdf,42
10.3390/nu16020258,2024,Bell et al. - 2024 - Sickle Cell Disease Update New Treatments and Challenging Nutritional Interventions.pdf,43
10.1080/19768354.2020.1726462,2020,Lee et al. - 2020 - Genome editing methods in animal models.pdf,44
10.1016/j.gfs.2024.100785,2024,1-s2.0-S2211912424000476-main.pdf,45
10.1038/535342a,2016,Ledford - 2016 - The unsung heroes of CRISPR.pdf,46
10.1039/d4cc04534c,2024,d4cc04534c.pdf,47
10.1111/pbi.14574,2025,Plant Biotechnology Journal - 2025 - Bai - Engineering an optimized hypercompact CRISPR Cas12j‐8 system for efficient.pdf,48
10.1038/s41587-024-02437-3,2024,s41587-024-02437-3.pdf,49
10.1007/s00299-010-0938-1,2010,Wang et al. - 2011 - Recombinase technology applications and possibilities.pdf,50
10.1016/j.fertnstert.2023.08.008,2023,PIIS0015028223007653.pdf,51
10.1038/519410a,2015,Lanphier et al. - 2015 - Don’t edit the human germ line.pdf,52
10.1007/s00299-024-03173-3,2024,s00299-024-03173-3.pdf,53
10.1126/science.1079512,2003,science.1079512.pdf,54
10.3389/fcell.2024.1377073,2024,Fisher - 2024 - Cell and developmental biology grand challenges.pdf,55
10.1016/j.semcdb.2019.05.007,2019,Singh et al. - 2019 - CRISPRCas9 guided genome and epigenome engineering and its therapeutic applications in immune media.pdf,56
10.1038/s41398-020-0685-1,2020,Ghoshal et al. - 2020 - Effects of a patient-derived de novo coding alteration of CACNA1I in mice connect a schizophrenia ri.pdf,57
10.1002/em.22566,2023,Environ and Mol Mutagen - 2023 - Miranda - Unbiased whole genome detection of ultrarare off‐target mutations in.pdf,58
10.1089/crispr.2022.0096,2023,Chen et al. - 2023 - Multiplex Editing of the Nucleoredoxin1 Tandem Array in Poplar From Small Indels to Transloc.pdf,59
10.1016/j.omtn.2024.102248,2024,Evans et al. - 2024 - Evaluation of DNA minicircles for delivery of adenine and cytosine base editors using activatable ge.pdf,60
10.3967/bes2024.095,2024,Decoding the Molecular Mechanisms of BRAFV600E-Induced Nevi Formation.pdf,61
10.1016/j.wpi.2021.102038,2021,1-s2.0-S017221902100020X-main.pdf,62
10.3390/ijms21176240,2020,Kantor et al. - 2020 - CRISPR-Cas9 DNA Base-Editing and Prime-Editing.pdf,63
10.1099/mic.0.27437-0,2005,"Pourcel et al. - 2005 - CRISPR elements in Yersinia pestis acquire new repeats by preferential uptake of bacteriophage DNA,.pdf",64
10.1016/j.ijpara.2017.08.002,2017,Suarez et al. - 2017 - Advances in the application of genetic manipulation methods to apicomplexan parasites.pdf,65
10.1161/circresaha.123.321999,2023,Li et al. - 2023 - Genomic Innovation in Early Life Cardiovascular Disease Prevention and Treatment.pdf,66
10.1016/j.trac.2024.117758,2024,1-s2.0-S0165993624002413-main.pdf,67
10.1007/s13238-015-0153-5,2015,Liang et al. - 2015 - CRISPRCas9-mediated gene editing in human tripronuclear zygotes.pdf,68
10.1016/j.cell.2024.04.031,2024,Eggers et al. - 2024 - Rapid DNA unwinding accelerates genome editing by engineered CRISPR-Cas9.pdf,69
10.1109/icteca60133.2023.10490970,2023,trump-et-al-2020-building-biosecurity-for-synthetic-biology.pdf,70
10.3390/ijms25021187,2024,Prokopovich et al. - 2024 - CXCR4 Is a Potential Target for Anti-HIV Gene Therapy.pdf,71
10.3390/cells8060574,2019,Vindry et al. - 2019 - A Versatile Strategy to Reduce UGA-Selenocysteine Recoding Efficiency of the Ribosome Using CRISPR-C.pdf,72
10.1016/j.jaci.2024.03.016,2024,1-s2.0-S0091674924003282-main.pdf,73
10.1111/tpj.13599,2017,Zhang et al. - 2017 - Simultaneous modification of three homoeologs of  Ta EDR.pdf,74
10.1126/science.aax7852,2019,science.aax7852.pdf,75
10.1093/treephys/tpae150,2024,tpae150.pdf,76
10.1016/j.cell.2015.02.038,2015,Chen et al. - 2015 - Genome-wide CRISPR Screen in a Mouse Model of Tumor Growth and Metastasis.pdf,77
10.1002/adfm.202009860,2021,Dacoba et al. - 2021 - Nano‐Oncologicals A Tortoise Trail Reaching New Avenues.pdf,78
10.1016/j.ctarc.2020.100289,2021,1-s2.0-S2468294220301246-main.pdf,79
10.1111/1755-0998.12935,2018,Molecular Ecology Resources - 2018 - Shan - Application of CRISPR Cas9 to Tragopogon  Asteraceae   an evolutionary model.pdf,80
10.3389/fphys.2017.00608,2017,Sun et al. - 2017 - Progress and Prospects of CRISPRCas Systems in Insects and Other Arthropods.pdf,81
10.1038/s42003-024-06537-3,2024,Hu et al. - 2024 - Repurposing Type I-A CRISPR-Cas3 for a robust diagnosis of human papillomavirus (HPV).pdf,82
10.1093/nar/gkr606,2011,Sapranauskas et al. - 2011 - The Streptococcus thermophilus CRISPRCas system provides immunity in Escherichia coli.pdf,83
10.1126/science.aav4294,2018,Harrington et al. - 2018 - Programmed DNA destruction by miniature CRISPR-Cas14 enzymes.pdf,84
10.1557/mrc.2017.91,2017,Boys et al. - 2017 - Next generation tissue engineering of orthopedic soft tissue-to-bone interfaces.pdf,85
10.1093/nar/gkae1066,2024,Arantes et al. - 2024 - Dimerization of the deaminase domain and locking interactions with Cas9 boost base editing efficienc.pdf,86
10.1128/jb.00580-17,2018,Ishino et al. - 2018 - History of CRISPR-Cas from Encounter with a Mysterious Repeated Sequence to Genome Editing Technolog.pdf,87
10.7203/metode.11.15507,2021,Gómez-Mena - 2021 - Plantas a la carta La edición de genomas para la mejora vegetal.pdf,88
10.1002/dta.3850,2025,Drug Testing and Analysis - 2025 - Ren - Gene Doping Detection From the Perspective of 3D Genome.pdf,89
10.1038/s41591-018-0326-x,2019,Charlesworth et al. - 2019 - Identification of preexisting adaptive immunity to Cas9 proteins in humans.pdf,90
10.1038/nrg.2017.74,2017,nrg.2017.74.pdf,91
10.3390/agriculture13050944,2023,Haider et al. - 2023 - Recent Developments in Rice Molecular Breeding for Tolerance to Heavy Metal Toxicity.pdf,92
10.1101/cshperspect.a012740,2013,Jasin and Rothstein - 2013 - Repair of Strand Breaks by Homologous Recombination.pdf,93
10.1146/annurev-cellbio-020223-031019,2023,Wu et al. - 2023 - Tissue Morphogenesis Through Dynamic Cell and Matrix Interactions.pdf,94
10.1093/eurheartj/ehy295,2018,eurheartj_39_20_1765.pdf,95
10.1016/j.molcel.2015.10.008,2015,Shmakov et al. - 2015 - Discovery and Functional Characterization of Diverse Class 2 CRISPR-Cas Systems.pdf,96
10.1002/jbmr.3086,2017,Williams and Warman - 2017 - CRISPRCAS9 Technologies.pdf,97
10.1038/s41565-023-01547-4,2023,Walker et al. - 2024 - Oligomeric organization of membrane proteins from native membranes at nanoscale spatial and single-m.pdf,98
10.1016/j.jgg.2024.10.014,2025,1-s2.0-S1673852724002881-main.pdf,99
10.3389/fgene.2020.617850,2021,Ratner et al. - 2021 - Practical Approaches for Knock-Out Gene Editing in Pigs.pdf,100
10.1007/s13258-020-01002-x,2020,Golkar - 2020 - CRISPR a journey of gene-editing based medicine.pdf,101
10.1038/s41586-019-1314-0,2019,s41586-019-1314-0.pdf,102
10.1016/j.cell.2009.07.040,2009,Hale et al. - 2009 - RNA-Guided RNA Cleavage by a CRISPR RNA-Cas Protein Complex.pdf,103
10.1038/s41586-020-03086-7,2021,Koblan et al. - 2021 - In vivo base editing rescues Hutchinson–Gilford progeria syndrome in mice.pdf,104
10.1038/ncomms15464,2017,Shin et al. - 2017 - CRISPRCas9 targeting events cause complex deletions and insertions at 17 sites in the mouse genome.pdf,105
10.1016/j.ymthe.2024.03.010,2024,PIIS1525001624001515.pdf,106
10.3389/finsc.2023.1198252,2023,Seth et al. - 2023 - Dichotomous sperm in Lepidopteran insects a biorational target for pest management.pdf,107
10.1016/j.molcel.2024.09.003,2024,PIIS1097276524007366.pdf,108
10.3389/fgeed.2024.1488024,2025,Kaushal et al. - 2025 - Transcriptional engineering for value enhancement of oilseed crops a forward perspective.pdf,109
10.1134/s1068162024040046,2024,Akhmetova et al. - 2024 - Photocleavable Guide RNA for Photocontrolled CRISPRCas9 System.pdf,110
10.3390/biomedicines12051086,2024,Struckman et al. - 2024 - Hotspot DNA Methyltransferase 3A (DNMT3A) and Isocitrate Dehydrogenase 1 and 2 (IDH12) Mutations in.pdf,111
10.3390/plants12173119,2023,Tang et al. - 2023 - CRISPRCas Technology Revolutionizes Crop Breeding.pdf,112
10.1007/s11627-021-10184-2,2021,Bhattacharya et al. - 2021 - Genome editing for crop improvement A perspective from India.pdf,113
10.1002/jcp.27476,2018,Journal Cellular Physiology - 2018 - Khadempar - CRISPR Cas9 in genome editing  Its function and medical applications.pdf,114
10.1016/j.pharmthera.2024.108653,2024,1-s2.0-S0163725824000731-main.pdf,115
10.15252/embr.202050307,2020,Meyer - 2020 - The CRISPR babies controversy Responsibility and regu.pdf,116
10.3390/genes14040796,2023,Moroki et al. - 2023 - An Attempt to Identify the Medaka Receptor for Somatolactin Alpha Using a Reverse Genetics Approach.pdf,117
10.1016/j.cell.2016.11.038,2016,Dixit et al. - 2016 - Perturb-Seq Dissecting Molecular Circuits with Scalable Single-Cell RNA Profiling of Pooled Genetic.pdf,118
10.1038/s41579-022-00739-4,2022,s41579-022-00739-4.pdf,119
10.1093/nsr/nwz005,2019,Mao et al. - 2019 - Gene editing in plants progress and challenges.pdf,120
10.18502/jri.v24i3.13270,2023,Sadeghi - 2023 - Technical Problems and Ethical Concerns Regarding Gene Editing in Human Germlines and Embryos.pdf,121
10.1002/rmv.2009,2018,Reviews in Medical Virology - 2018 - Ebrahimi - Harnessing CRISPR Cas 9 System for manipulation of DNA virus genome.pdf,122
10.1038/s41467-018-07845-z,2019,Mangeot et al. - 2019 - Genome editing in primary cells and in vivo using viral-derived Nanoblades loaded with Cas9-sgRNA ri.pdf,123
10.1016/j.bbrc.2024.151002,2024,1-s2.0-S0006291X24015389-main.pdf,124
10.1038/nmeth.3047,2014,Sanjana et al. - 2014 - Improved vectors and genome-wide libraries for CRISPR screening.pdf,125
10.1016/j.cell.2013.06.044,2013,Gilbert et al. - 2013 - CRISPR-Mediated Modular RNA-Guided Regulation of Transcription in Eukaryotes.pdf,126
10.1016/j.cell.2018.11.022,2019,Rubin et al. - 2019 - Coupled Single-Cell CRISPR Screening and Epigenomic Profiling Reveals Causal Gene Regulatory Network.pdf,127
10.1038/s41587-021-01197-8,2021,s41587-021-01197-8.pdf,128
10.1091/mbc.e24-08-0355,2024,wollman-et-al-2024-mannose-receptor-(mrc1)-mediates-uptake-of-dextran-by-bone-marrow-derived-macrophages.pdf,129
10.1146/annurev-med-052318-100741,2020,annurev-med-052318-100741.pdf,130
10.3904/kjim.2016.198,2017,Kim et al. - 2017 - CRISPR-Cas9 a promising tool for gene editing on induced pluripotent stem cells.pdf,131
10.1261/rna.080088.124,2024,Sinan et al. - 2024 - Kinetic dissection of pre-crRNA binding and processing by CRISPR–Cas12a.pdf,132
10.1128/jmbe.00187-23,2024,Wünschiers et al. - 2024 - CRISPRCas9 gene targeting plus nanopore DNA sequencing with the plasmid pBR322 in the classroom.pdf,133
10.1038/s41467-020-14957-y,2020,Gee et al. - 2020 - Extracellular nanovesicles for packaging of CRISPR-Cas9 protein and sgRNA to induce therapeutic exon.pdf,134
10.1016/j.cej.2024.155596,2024,1-s2.0-S1385894724070876-main.pdf,135
10.4014/jmb.1607.07005,2017,JMB027-02-01_FDOC_1.pdf,136
10.1021/acssynbio.3c00667,2024,kaur-pati-2024-retron-library-recombineering-next-powerful-tool-for-genome-editing-after-crispr-cas.pdf,137
10.3390/ijms25042198,2024,Li et al. - 2024 - Functions of Phytochrome Interacting Factors (PIFs) in Adapting Plants to Biotic and Abiotic Stresse.pdf,138
10.1007/s11295-022-01583-6,2023,s11295-022-01583-6.pdf,139
10.1016/j.berh.2024.101988,2024,Piedade et al. - 2024 - The importance of functional genomics studies in precision rheumatology.pdf,140
10.1186/s12866-024-03462-7,2024,Shabbir et al. - 2024 - Potential of ZnO nanoparticles for multi-drug resistant Escherichia coli having CRISPR-Cas from poul.pdf,141
10.3390/genes15081014,2024,Polidoros et al. - 2024 - Genome-Editing Products Line up for the Market Will Europe Harvest the Benefits from Science and In.pdf,142
10.1016/j.tcb.2024.03.005,2024,1-s2.0-S0962892424000667-main.pdf,143
10.1111/nph.19503,2023,New Phytologist - 2023 - Wang - A novel miR160a GmARF16 GmMYC2 module determines soybean salt tolerance and adaptation.pdf,144
10.1007/s12672-022-00509-x,2022,Bhattacharjee et al. - 2022 - Understanding on CRISPRCas9 mediated cutting-edge approaches for cancer therapeutics.pdf,145
10.3406/bavf.2023.71031,2023,Pailhoux and Vilotte - 2023 - Modifications ciblées du génome (genome editing) chez les animaux d’élevage  ou en est-on en Fran.pdf,146
10.1016/j.copbio.2023.103040,2024,1-s2.0-S0958166923001507-main.pdf,147
10.1038/s41467-020-15887-5,2020,Yu et al. - 2020 - Cytosine base editors with minimized unguided DNA and RNA off-target events and high on-target activ.pdf,148
10.1038/s41586-019-1711-4,2019,Anzalone et al. - 2019 - Search-and-replace genome editing without double-strand breaks or donor DNA.pdf,149
10.1073/pnas.1420294112,2015,Xie et al. - 2015 - Boosting CRISPRCas9 multiplex editing capability with the endogenous tRNA-processing system.pdf,150
10.1038/nbt1117-998,2017,nbt1117-998.pdf,151
10.1111/j.1365-2958.1995.mmi_17010085.x,2006,Molecular Microbiology - July 1995 - Mojica - Long stretches of short tandem repeats are present in the largest replicons.pdf,152
10.1109/rbme.2024.3494715,2025,ieee_rbme_2024.pdf,153
10.3389/fbioe.2023.1221943,2023,Wang et al. - 2023 - Thermus thermophilus Argonaute-based signal amplifier for highly sensitive and specific microRNA det.pdf,154
10.1016/j.cr.2019.08.001,2019,Yang and Huang - 2019 - Methods and applications of CRISPRCas system for genome editing in stem cells.pdf,155
10.3389/fgeed.2024.1458037,2024,Simoni et al. - 2024 - In vivo liver targeted genome editing as therapeutic approach progresses and challenges.pdf,156
10.1051/jbio/2018001,2018,Pourcel - 2017 - Historique de la découverte des systèmes CRISPR-Cas.pdf,157
10.1016/j.trecan.2021.11.009,2022,"Dong et al. - 2022 - Tumor immunology CRISPR screening present, past, and future.pdf",158
10.1002/smj.3162,2020,Strategic Management Journal - 2020 - Bikard - Idea twins  Simultaneous discoveries as a research tool.pdf,159
10.1016/j.molp.2016.05.001,2016,Tang et al. - 2016 - A Single Transcript CRISPR-Cas9 System for Efficient Genome Editing in Plants.pdf,160
10.1038/s41586-021-03534-y,2021,s41586-021-03534-y.pdf,161
10.3389/fpls.2021.721203,2021,Abdelrahman et al. - 2021 - Multiplex Genome-Editing Technologies for Revolutionizing Plant Biology and Crop Improvement.pdf,162
10.37349/ei.2024.00161,2024,Kolev et al. - 2024 - The future of complement therapeutics.pdf,163
10.1080/10438599.2019.1705004,2019,A_Link_Technological_2021.pdf,164
10.1016/j.trac.2023.117328,2023,1-s2.0-S0165993623004156-main.pdf,165
10.3389/fimmu.2023.1194386,2023,"Guo and Liu - 2023 - Editorial Porcine reproductive and respiratory syndrome virus - animal virology, immunology, and pa.pdf",166
10.4324/9781003414902-22,2024,science.aat4982.pdf,167
10.1134/s2635167623700349,2023,S2635167623700349.pdf,168
10.3390/microorganisms12051028,2024,Sandsdalen et al. - 2024 - Exploring the Frozen Armory Antiphage Defense Systems in Cold-Adapted Bacteria with a Focus on CRIS.pdf,169
10.1007/s12539-024-00663-6,2024,s12539-024-00663-6.pdf,170
10.3389/fbioe.2017.00057,2017,Matsoukas - 2017 - Commentary CRISPR–Cas Encoding of a Digital Movie into the Genomes of a Population of Living Bacter.pdf,171
10.1126/science.1165771,2008,Marraffini and Sontheimer - 2008 - CRISPR Interference Limits Horizontal Gene Transfer in Staphylococci by Targeting DNA.pdf,172
10.1134/s0006297921040064,2021,Isaev et al. - 2021 - Microbial Arsenal of Antiviral Defenses. Part II.pdf,173
10.1016/j.antiviral.2024.106035,2024,1-s2.0-S0166354224002468-main.pdf,174
10.1042/bst20130038,2013,Makarova et al. - 2013 - The basic building blocks and evolution of CRISPR–Cas systems.pdf,175
10.1093/bioinformatics/btad448,2023,Wegner and Kaulich - 2023 - ReCo automated NGS re ad- co unting of single and combinatorial CRISPR gRNAs.pdf,176
10.1016/j.molcel.2021.08.008,2021,Xu et al. - 2021 - Engineered miniature CRISPR-Cas system for mammalian genome regulation and editing.pdf,177
10.1021/acs.accounts.3c00597,2023,zheng-et-al-2023-unleashing-the-power-of-proenzyme-delivery-for-targeted-therapeutic-applications-using-biodegradable.pdf,178
10.1038/s41467-024-48012-x,2024,Xun et al. - 2024 - Harnessing noncanonical crRNA for highly efficient genome editing.pdf,179
10.1093/bioinformatics/btu048,2014,Bae et al. - 2014 - Cas-OFFinder a fast and versatile algorithm that searches for potential off-target sites of Cas9 RN.pdf,180
10.1146/annurev-cellbio-112122-025214,2024,annurev-cellbio-112122-025214.pdf,181
10.1038/s41467-018-04580-3,2018,Yeh et al. - 2018 - In vivo base editing of post-mitotic sensory cells.pdf,182
10.1002/aps3.11314,2020,Shan et al. - 2020 - Considerations in adapting CRISPRCas9 in nongenetic model plant systems.pdf,183
10.1016/j.scib.2020.09.004,2021,1-s2.0-S2095927320305831-main.pdf,184
10.1126/science.1231143,2013,Cong et al. - 2013 - Multiplex Genome Engineering Using CRISPRCas Systems.pdf,185
10.1016/b978-0-12-822562-2.00025-6,2024,3-s2.0-B9780128225622000256-main.pdf,186
10.3390/ijms25042386,2024,Blasiak et al. - 2024 - A New Generation of Gene Therapies as the Future of Wet AMD Treatment.pdf,187
10.1097/aci.0000000000000952,2023,Ott De Bruin et al. - 2023 - Advances in gene therapy for inborn errors of immunity.pdf,188
10.1161/atvbaha.122.317963,2023,oostveen-et-al-2023-new-approaches-for-targeting-pcsk9-small-interfering-ribonucleic-acid-and-genome-editing.pdf,189
10.1007/s11240-024-02904-4,2024,s11240-024-02904-4.pdf,190
10.1016/j.tplants.2023.09.014,2023,Dima et al. - 2023 - EU legal proposal for genome-edited crops hints at a science-based approach.pdf,191
10.1038/s41573-023-00762-x,2023,s41573-023-00762-x.pdf,192
10.1093/aob/mcz146,2019,Taylor et al. - 2019 - Sustainable bioenergy for climate mitigation developing drought-tolerant trees and grasses.pdf,193
10.1038/nature08756,2010,nature08756.pdf,194
10.3389/fchem.2023.1259435,2023,Dubey and Mostafavi - 2023 - Biomaterials-mediated CRISPRCas9 delivery recent challenges and opportunities in gene therapy.pdf,195
10.1016/j.cois.2018.04.004,2018,Homem and Davies - 2018 - An overview of functional genomic tools in deciphering insecticide resistance.pdf,196
10.1016/j.trac.2024.118058,2025,1-s2.0-S0165993624005417-main.pdf,197
10.1016/j.scib.2023.11.015,2023,Fu et al. - 2023 - Prime editing current advances and therapeutic opportunities in human diseases.pdf,198
10.3390/ijms25094929,2024,Martínez et al. - 2024 - Knowing Our Enemy in the Antimicrobial Resistance Era Dissecting the Molecular Basis of Bacterial D.pdf,199
10.1099/mic.0.023960-0,2009,Mojica et al. - 2009 - Short motif sequences determine the targets of the prokaryotic CRISPR defence system.pdf,200
10.1073/pnas.1709035114,2017,Peters et al. - 2017 - Recruitment of CRISPR-Cas systems by Tn7-like transposons.pdf,201
10.3390/cancers13246306,2021,Głów et al. - 2021 - CRISPR-to-Kill (C2K)–Employing the Bacterial Immune System to Kill Cancer Cells.pdf,202
10.1038/nature03556,2005,nature03556.pdf,203
10.1038/d41573-022-00124-z,2022,d41573-022-00124-z.pdf,204
10.1016/j.transci.2022.103566,2022,1-s2.0-S147305022200252X-main.pdf,205
10.1007/s11627-021-10182-4,2021,s11627-021-10182-4.pdf,206
10.1089/crispr.2020.0082,2020,Baylis et al. - 2020 - Human Germline and Heritable Genome Editing The Global Policy Landscape.pdf,207
10.1016/b978-0-12-818140-9.00004-0,2020,3-s2.0-B9780128181409000040-main.pdf,208
10.3390/antiox12112014,2023,Rudenko et al. - 2023 - Antioxidants of Non-Enzymatic Nature Their Function in Higher Plant Cells and the Ways of Boosting.pdf,209
10.1039/d4py00298a,2024,d4py00298a.pdf,210
10.3389/fpls.2020.00056,2020,"El-Mounadi et al. - 2020 - Principles, Applications, and Biosafety of Plant Genome Editing Using CRISPR-Cas9.pdf",211
10.1086/721620,2023,721620.pdf,212
10.1089/crispr.2020.0019,2021,Lin et al. - 2021 - Increased Efficiency for Biallelic Mutations of the CCR5 Gene by CRISPR-Cas9 Using Multiple G.pdf,213
10.1007/s11684-023-1013-y,2023,s11684-023-1013-y.pdf,214
10.1186/s12915-023-01714-y,2023,Bustos et al. - 2023 - Removal of a partial genomic duplication restores synaptic transmission and behavior in the MyosinVA.pdf,215
10.1016/j.chroma.2024.464862,2024,D’Atri et al. - 2024 - Size exclusion chromatography of biopharmaceutical products From current practices for proteins to.pdf,216
10.1186/s12943-022-01552-6,2022,Das et al. - 2022 - CRISPR based therapeutics a new paradigm in cancer precision medicine.pdf,217
10.1016/j.plantsci.2020.110721,2021,Sánchez-López et al. - 2021 - Approaching the genetic dissection of indirect adventitious organogenesis process in tomato explants.pdf,218
10.1530/erc-18-0039,2018,Tan et al. - 2018 - 65 YEARS OF THE DOUBLE HELIX The advancements of gene editing and potential application to heredita.pdf,219
10.1111/acv.12273,2016,Johnson et al. - 2016 - Is there a future for genome-editing technologies in conservation.pdf,220
10.3390/md19070365,2021,"Jagannathan et al. - 2021 - Marine Actinomycetes, New Sources of Biotechnological Products.pdf",221
10.1186/s12866-024-03304-6,2024,Lu et al. - 2024 - Genomic characterization and probiotic potential assessment of an exopolysaccharide-producing strain.pdf,222
10.1038/s41587-020-0609-x,2020,Kurt et al. - 2021 - CRISPR C-to-G base editors for inducing targeted DNA transversions in human cells.pdf,223
10.1002/jgm.2963,2017,The Journal of Gene Medicine - 2017 - Liang - Developmental history and application of CRISPR in human disease.pdf,224
10.1038/s41576-023-00626-5,2023,s41576-023-00626-5.pdf,225
10.1111/pbi.13225,2019,"Mishra et al. - 2020 - Base editing in crops current advances, limitations and future implications.pdf",226
10.1186/s12951-024-02554-w,2024,Wang et al. - 2024 - Short cell-penetration peptide conjugated bioreducible polymer enhances gene editing of CRISPR syste.pdf,227
10.1021/acs.jcim.3c00256,2023,zhang-zuo-2023-identification-of-a-cryptic-binding-site-in-crispr-cas9-for-targeted-inhibition.pdf,228
10.1038/s41587-023-02091-1,2024,s41587-023-02091-1.pdf,229
10.1007/bf00040524,1992,BF00040524.pdf,230
10.1016/j.jaci.2024.03.003,2024,Bahal et al. - 2024 - Hematopoietic stem cell gene editing rescues B-cell development in X-linked agammaglobulinemia.pdf,231
10.3389/fmicb.2023.1076947,2023,Quansah et al. - 2023 - CRISPR-Cas13 in malaria parasite Diagnosis and prospective gene function identification.pdf,232
